Year,Nominal Min Wage,Minimum Wage in 2012 Dollars
1938,$0.25,$3.98
1939,$0.30,$4.85
1940,$0.30,$4.81
1941,$0.30,$4.59
1942,$0.30,$4.14
1943,$0.30,$3.90
1944,$0.30,$3.83
1945,$0.40,$5.00
1946,$0.40,$4.62
1947,$0.40,$4.02
1948,$0.40,$3.74
1949,$0.40,$3.77
1950,$0.75,$7.01
1951,$0.75,$6.50
1952,$0.75,$6.35
1953,$0.75,$6.31
1954,$0.75,$6.28
1955,$0.75,$6.31
1956,$1.00,$8.29
1957,$1.00,$7.99
1958,$1.00,$7.77
1959,$1.00,$7.72
1960,$1.00,$7.59
1961,$1.15,$8.64
1962,$1.15,$8.56
1963,$1.25,$9.18
1964,$1.25,$9.06
1965,$1.25,$8.67
1966,$1.25,$8.92
1967,$1.40,$9.43
1968,$1.60,$10.34
1969,$1.60,$9.81
1970,$1.60,$9.28
1971,$1.60,$8.89
1972,$1.60,$8.60
1973,$1.60,$8.10
1974,$2.00,$9.12
1975,$2.10,$8.78
1976,$2.30,$9.10
1977,$2.30,$8.54
1978,$2.65,$9.14
1979,$2.90,$8.97
1980,$3.10,$8.46
1981,$3.35,$8.29
1982,$3.35,$7.82
1983,$3.35,$7.59
1984,$3.35,$7.34
1985,$3.35,$7.09
1986,$3.35,$6.98
1987,$3.35,$6.74
1988,$3.35,$6.48
1989,$3.35,$6.18
1990,$3.80,$6.66
1991,$4.25,$7.16
1992,$4.25,$6.96
1993,$4.25,$6.77
1994,$4.25,$6.60
1995,$4.25,$6.42
1996,$4.75,$6.97
1997,$5.15,$7.39
1998,$5.15,$7.30
1999,$5.15,$7.14
2000,$5.15,$6.90
2001,$5.15,$6.72
2002,$5.15,$6.62
2003,$5.15,$6.48
2004,$5.15,$6.31
2005,$5.15,$6.10
2006,$5.15,$5.91
2007,$5.85,$6.53
2008,$6.55,$7.02
2009,$7.25,$7.82
2010,$7.25,$7.67
2011,$7.25,$7.40
2012,$7.25,$7.25